Alpha,Type,observed_ASVs,shannon
B10A01,Warm-dry,751,6.367496081
B10A02,Warm-dry,152,5.441308609
B10A03,Warm-dry,466,5.758083529
B10A04,Warm-dry,467,6.050754565
B10A05,Warm-dry,492,6.076496107
B10A06,Warm-dry,834,6.98723834
B10A07,Warm-dry,963,7.504923349
B10A08,Warm-dry,428,5.653953572
B10A09,Warm-dry,419,5.814527925
B10A10,Warm-dry,584,6.241881947
B10B01,Warm-dry,389,5.391279246
B10B02,Warm-dry,437,6.062611394
B10B04,Warm-dry,190,3.624034948
B10B05,Warm-dry,117,3.139049354
B10B06,Warm-dry,336,5.467656493
B10B07,Warm-dry,519,5.836156368
B10B08,Warm-dry,649,6.969393468
B10B09,Warm-dry,194,3.256693084
B11A02,Warm-dry,552,5.316305029
B11A03,Warm-dry,436,5.189216599
B11A04,Warm-dry,464,6.136353809
B11A05,Warm-dry,500,5.664445256
B11A06,Warm-dry,449,5.355422322
B11A07,Warm-dry,508,5.633092011
B11A08,Warm-dry,434,6.001053928
B11A09,Warm-dry,353,3.906161604
B11A10,Warm-dry,410,5.267759356
B11B01,Warm-dry,495,6.00675542
B11B02,Warm-dry,590,6.113387454
B11B03,Warm-dry,459,4.992939903
B11B04,Warm-dry,649,6.944185759
B11B05,Warm-dry,549,6.553477448
B11B06,Warm-dry,583,6.406935067
B11B07,Warm-dry,606,6.518882139
B11B08,Warm-dry,491,4.581392033
B11B09,Warm-dry,483,6.447765576
B11B10,Warm-dry,444,5.769462941
B11C01,Warm-dry,510,6.346850327
B11C02,Warm-dry,468,6.018236153
B11C03,Warm-dry,571,6.936339562
B11C04,Warm-dry,478,6.07677941
B11C05,Warm-dry,539,6.442172048
B11C06,Warm-dry,507,6.259768791
B11C07,Warm-dry,539,6.46369421
B11C08,Warm-dry,595,6.193187149
B11C09,Warm-dry,597,6.904057976
B11C10,Warm-dry,500,6.212876198
B21A01,Warm-wet,499,5.009690085
B21A02,Warm-wet,494,5.923842006
B21A03,Warm-wet,492,5.724468701
B21A04,Warm-wet,792,6.323558964
B21A05,Warm-wet,366,3.92127201
B21A06,Warm-wet,600,5.679274932
B21A07,Warm-wet,630,6.252576168
B21A08,Warm-wet,366,2.309754908
B21A09,Warm-wet,568,6.136228797
B21A10,Warm-wet,451,4.291288031
B21B01,Warm-wet,612,5.882271246
B21B02,Warm-wet,718,6.072765932
B21B03,Warm-wet,528,5.847661836
B21B04,Warm-wet,842,6.872098997
B21B05,Warm-wet,670,6.179234274
B21B06,Warm-wet,813,6.641666699
B21B07,Warm-wet,641,6.055359109
B21B08,Warm-wet,712,6.449509558
B21B09,Warm-wet,614,6.098822338
B21B10,Warm-wet,408,5.618316478
B22A01,Warm-wet,465,6.268167539
B22A02,Warm-wet,681,6.833619354
B22A03,Warm-wet,520,6.277606173
B22A04,Warm-wet,525,6.386880507
B22A05,Warm-wet,570,6.661198772
B22A06,Warm-wet,514,6.719892292
B22A07,Warm-wet,629,6.590495543
B22A08,Warm-wet,481,6.364234893
B22A09,Warm-wet,602,6.627960116
B22A10,Warm-wet,549,6.660887586
B22A11,Warm-wet,617,6.78459774
B22A12,Warm-wet,568,6.900543346
B22A13,Warm-wet,542,6.612734846
B22A14,Warm-wet,520,6.669174475
B22A15,Warm-wet,445,6.139792726
B22A16,Warm-wet,419,6.288450714
B22A17,Warm-wet,556,6.553142451
B22B01,Warm-wet,592,6.805017483
B22B04,Warm-wet,831,7.278529065
B22B05,Warm-wet,589,6.660632438
B22B07,Warm-wet,886,7.855755091
B22B13,Warm-wet,656,6.823723693
B22B14,Warm-wet,796,7.703808167
B22B17,Warm-wet,542,6.595917222
B22B15,Warm-wet,450,6.189949222
