Vip,FC,log2FC,ConcordGroup,logp,p,type,A,comp,log2Dry,log2Wet
1.511944214,2.488531087,1.315294409,1,4.36038755,0.048684706,up,sig,COG2015,14.02328404,12.70798963
1.824360323,2.376132349,1.248615195,1,8.353583548,0.003057178,up,sig,COG3754,14.01918696,12.77057176
1.861227062,2.331543204,1.221285163,1,9.271993988,0.001617528,up,sig,COG1848,11.56185433,10.34056917
1.805688744,2.261530954,1.177299742,1,6.442545726,0.011497422,up,sig,COG5573,13.81758893,12.64028918
1.714248006,2.25819261,1.175168544,1,7.351175563,0.006124571,up,sig,COG4577,13.7702734,12.59510486
1.867905314,2.217671738,1.149045832,1,8.209069965,0.003379276,up,sig,COG3659,13.07204124,11.9229954
1.790567858,2.200350711,1.137733492,1,8.072683126,0.003714328,up,sig,COG1373,11.72615944,10.58842595
2.049643458,2.194974448,1.134204145,1,12.37168251,0.000188692,up,sig,COG2253,12.967609,11.83340486
1.87770475,2.144242316,1.10046795,1,9.12349424,0.001792894,up,sig,COG3049,13.60462142,12.50415347
1.761871896,2.088420792,1.062412427,1,5.736461981,0.018756546,up,sig,COG1621,12.79506749,11.73265507
1.877111325,2.069225789,1.049091077,1,7.2029387,0.006787337,up,sig,COG2071,13.68978558,12.6406945
1.925785969,2.036187768,1.025870606,1,9.896667378,0.001049074,up,sig,COG3536,13.86653918,12.84066857
1.89387253,2.031221443,1.022347531,1,9.880700962,0.001060749,up,sig,COG1487,11.13833139,10.11598385
2.039780604,2.012127058,1.008721409,1,9.984756185,0.000986936,up,sig,COG5361,13.19588935,12.18716794
1.355466597,1.977161364,0.98343062,1,4.224919119,0.053477687,insig,no,COG2385,13.72609786,12.74266724
1.715273696,1.97038557,0.978477967,1,7.211973376,0.006744965,insig,no,COG4456,13.58485983,12.60638186
1.709637398,1.963421067,0.9733696,1,6.907988144,0.008326996,insig,no,COG2336,13.33066254,12.35729294
1.660852401,1.936346277,0.953336973,1,6.625167285,0.010130384,insig,no,COG1569,13.09128663,12.13794965
1.410574153,1.908519404,0.932453855,1,3.967149742,0.063939455,insig,no,COG1141,13.79528283,12.86282898
1.623493152,1.906355225,0.930816972,1,5.706471569,0.019150534,insig,no,COG4634,12.62512586,11.69430889
1.97322413,1.893375611,0.920960644,1,11.39189986,0.000372131,insig,no,COG2002,12.31612579,11.39516514
1.73799351,1.881518973,0.911897837,1,7.361302038,0.006081732,insig,no,COG0724,13.13358029,12.22168245
1.593798362,1.876776213,0.908256633,1,6.06972481,0.014887808,insig,no,COG5621,13.44839772,12.54014108
1.790258709,1.876362126,0.907938286,1,8.284738181,0.003206604,insig,no,COG4118,11.51215946,10.60422117
