K_ID,WD,WW,paythway_cycle,log2FC
K15052,2.08E-09,8.624E-08,Hydroxypropionate bi_cycle,5.373701745
K14469,6.3336E-07,2.26926E-06,Hydroxypropionate bi_cycle,1.841124253
K01849,9.6352E-06,2.50788E-05,Hydroxypropionate bi_cycle,1.3800818
K14468,1.28286E-06,2.65218E-06,Hydroxypropionate bi_cycle,1.047814957
K01848,1.43933E-05,2.89889E-05,Hydroxypropionate bi_cycle,1.010103189
K15016,1.8463E-06,7.206E-08,Hydroxypropionate-hydroxybutylate cycle,-4.679294529
K00177,7.424E-08,5.9432E-07,Reductive citrate cycle,3.000971316
K00176,2.654E-07,8.6934E-07,Reductive citrate cycle,1.711752157
K01960,5.19276E-06,1.45378E-05,Reductive citrate cycle,1.48523551
K00172,5.7676E-07,2.729E-07,Reductive citrate cycle,-1.079598718
K18209,1.716E-07,3.504E-07,Reductive citrate cycle,1.029953222
K18557,7.08E-09,2.128E-08,Reductive citrate cycle,1.587676885
K15234,4.388E-08,1.0812E-07,Reductive citrate cycle,1.300997986
K25124,8.652E-08,1.354E-08,Wood-Ljungdahl pathway,-2.675805926
K15023,1.12263E-05,2.92406E-06,Wood-Ljungdahl pathway,-1.940837698
K22015,7.618E-08,2.038E-08,Wood-Ljungdahl pathway,-1.902258236
K05299,2.18E-09,7.64E-09,Wood-Ljungdahl pathway,1.809244503
K01500,2.50538E-06,6.6885E-06,Wood-Ljungdahl pathway,1.416653262
K15022,1.086E-08,4.66E-09,Wood-Ljungdahl pathway,-1.220622243
